,Name
391,"Asinovskaya-Khodasevich, Rema"
392,"Asipovets, Vasilii"
393,"Askanas, J."
394,"Askes, Mariam. See: Sandal, Mariam"
395,"Asovskaia, Sonia"
396,"Ass, Esther. See: Klug, Esther"
397,"Assmann, Erich"
398,"Assmuss, Karl"
399,"Assuied, André"
400,"Astmann, Mina"
401,"Astor, Nancy"
402,Astrakhanskii
403,"Astrologo, Pellegrino"
404,Astromsky
405,Astrov
406,Asya
407,Atamanchuk
408,"Atanasiu, S."
409,"Atanasov, Todor Boichev"
410,"Atkinson, John"
411,"Atlas, Jakob"
412,"Atlas, Jozef"
413,"Atlas, Samuel"
414,"Atlas, Yehezkel"
415,"Atlas, Yitzhak"
416,"Atrakhimovich, Ya. V."
417,"Atsalis, Grigoris"
418,"Attali, Léa"
419,"Attinger, Friedrich"
420,"Aub Mohrenwitz, Max"
421,"Audronis, Antanis"
422,"Auer, Franz"
423,"Auer, Karl"
424,"Auerbach, Heinrich"
425,"Auerbach, Philipp"
426,"Auerswald, Heinz"
427,"Auerswald, Willi"
428,"Auflegher, Henric"
429,"Auger, Roger"
430,August Wilhelm (Prussian Crown Prince)
431,"Augustas, Juozas"
432,"Augustin, Erich"
433,"Augustin, Hans"
434,"Augustin, Walter"
435,"Augustyniak, Erazm"
436,Aujaleu
437,"Aulanier, André"
438,"Aumeier, Hans"
439,"Auracher, Franz"
440,"Aurel, Nicolae"
441,Auschberg. See: Auszberg
442,Auschrat
443,Auswald
444,Auszberg
445,"Auzanneau, Robert-Stéphane"
446,Avelin
447,"Averōf, Yeōrgios"
448,"Aviel, Avraham"
449,"Avitabile, Domenico"
450,Avlasenko
451,"Avrukhin, David"
452,"Axt, Artur"
453,"Ayache, Isidor"
454,"Ayass, Wolfgang"
455,"Ayzenberg, Shlomo"
456,"Ayzenbud, Eliyah"
457,Ayzenshtat
458,"Azimov, Semen"
459,"Azjenberg, Jakub Josek"
460,"Azontondji, Hassou"
461,"Aćimović, Milan"
462,"Baade, Herbert"
463,Baar
464,Babak
465,Babchenkov
466,Babenko
467,"Babich, Ante"
468,"Babin, Louis"
469,Babitskii family
470,"Babkis, Ada"
471,"Babkis, Aron"
472,"Babkis, Yakob"
473,"Bach Zelewski, Erich von dem"
474,"Bach, Abraham"
